Id,SalePrice
1461,142952.29543
1462,210835.20058
1463,206444.29231
1464,220317.33236
1465,140682.72466
1466,167916.87654
1467,163395.48278
1468,198601.751
1469,146930.51257
1470,122045.17181
1471,170035.23839
1472,129731.86192
1473,147506.01816
1474,147343.04514
1475,129568.88889
1476,275539.02525
1477,275580.52611
1478,260729.66956
1479,286645.77934
1480,263008.3156
1481,231085.47645
1482,244755.13916
1483,223531.6887
1484,200641.44077
1485,213741.34624
1486,205901.0045
1487,280142.73622
1488,209074.95427
1489,224702.26533
1490,192387.61664
1491,230549.86637
1492,92481.877481
1493,149648.92361
1494,267898.77739
1495,205504.75443
1496,174177.64627
1497,179723.7549
1498,190587.75818
1499,170374.50781
1500,198379.35362
1501,185525.1518
1502,176709.67224
1503,206056.44662
1504,199239.78514
1505,202606.91557
1506,204851.82892
1507,206763.75231
1508,184824.36285
1509,179087.91068
1510,211985.54505
1511,165887.20166
1512,174172.39559
1513,135037.28416
1514,239214.25452
1515,158424.59898
1516,205187.67056
1517,139993.57118
1518,141929.83301
1519,223201.43429
1520,193498.26604
1521,197938.85765
1522,212888.81166
1523,141769.96396
1524,121253.583
1525,144773.50544
1526,134972.53514
1527,81139.86613
1528,129564.38207
1529,187717.99421
1530,191419.89291
1531,127368.43052
1532,83658.795464
1533,168335.8726
1534,118283.5507
1535,145920.97993
1536,99480.094052
1537,80989.017557
1538,86561.535201
1539,73884.268815
1540,106910.99206
1541,96079.752675
1542,130524.80907
1543,109260.59416
1544,82169.709805
1545,100183.48822
1546,119125.76905
1547,178750.42177
1548,136655.39194
1549,104814.87653
1550,125617.08768
1551,89877.325207
1552,111172.92241
1553,106057.14322
1554,98633.410802
1555,156036.76832
1556,108132.80847
1557,120338.72381
1558,126864.78292
1559,158258.37445
1560,74572.183153
1561,161358.97197
1562,181500.49714
1563,147016.34377
1564,147544.1313
1565,158524.78021
1566,188001.78625
1567,99760.67104
1568,226521.88021
1569,163664.73384
1570,138201.31188
